reward,program,class,immersion,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q14_1,Q14_2,Q15,Q17,Q19,intl,gender,Q22,pre-MBA,Q24,post-MBA,Q26,duration_min
$10,2-year,2020,SPMI,,1.0,,,1.0,,,1.0,,,6.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,5.0,7.0,4.0,4.0,7.0,4.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,,,,,,,1.0,1.0,,,,,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,,1.0,,,,,6.0,7.0,7.0,3.0,Allow it to be customized to immersion--I don't need consulting updates from Jacob Lehman that I get on Campus Groups about consulting when I'm not going into consulting.,domestic,Female,,other,Communications/Media,GM,,5.666666666666667
$10,2-year,2020,CFI,1.0,,,,1.0,,,,,1.0,5.0,6.0,6.0,7.0,5.0,7.0,7.0,5.0,5.0,5.0,7.0,5.0,1.0,3.0,4.0,4.0,1.0,1.0,5.0,5.0,5.0,1.0,4.0,,1.0,,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,7.0,7.0,7.0,7.0,"1. Specifically for international students, if would be helpful if the app shows whether the company has sponsored in the past or currently sponsors.
2. It might be difficult, but if the app can show the links to companies' postings that would be useful.",international,Female,,Finance,,Finance,,10.366666666666667
$10,2-year,2020,cust/no,,,,1.0,1.0,,,1.0,,,6.0,7.0,7.0,5.0,5.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0,3.0,2.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,1.0,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,1.0,,,,,1.0,,1.0,4.0,4.0,1.0,1.0,"I wouldn’t really use the app. I think the process of the different features that the app offers (creating a networking contact sheet, researching companies’ mission and vision, etc.) helps you become a better candidate. I think having an app do this for you limits opportunities for students to learn more about themselves and the companies they are recruiting for.",domestic,Female,,Consulting,,Consulting,,10.183333333333334
$10,2-year,2020,DTI,,,,1.0,1.0,,,1.0,,,6.0,5.0,4.0,3.0,6.0,7.0,5.0,6.0,6.0,7.0,6.0,4.0,6.0,6.0,7.0,5.0,5.0,4.0,7.0,4.0,7.0,4.0,6.0,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,7.0,4.0,5.0,1.0,"1. Provide recommendations on how to connect your past experience to a new function/industry.
2. In-app quizzes/surveys that provide recommendations for function/industry and how to learn more.
3. Share pitch with alum to receive feedback from those in the industry.",domestic,Female,,Finance,,PM,,9.4
$10,AMBA,2020,cust/no,,,,,,1.0,1.0,1.0,,,5.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,7.0,6.0,6.0,4.0,4.0,4.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,2.0,,1.0,,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,5.0,5.0,5.0,3.0,I am not sure,international,Male,,PM,,PM,,38.06666666666667
$10,2-year,2020,SPMI,1.0,,,1.0,,,,1.0,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,4.0,,,,,,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,,1.0,,1.0,,,6.0,4.0,5.0,3.0,"Be sure to not just copy areas of other Johnson systems. 
Find additional unique, value-add features such as the saving contacts feature.
Perhaps include tips for approaching real world ambiguous problems; thought starters when tackling a challenge",domestic,Female,,Finance,,Marketing,,7.666666666666667
$10,2-year,2021,cust/no,1.0,,,1.0,,,,1.0,,,5.0,5.0,3.0,5.0,6.0,6.0,6.0,5.0,3.0,5.0,6.0,4.0,5.0,6.0,7.0,5.0,5.0,6.0,5.0,6.0,6.0,2.0,4.0,,1.0,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,1.0,1.0,,1.0,,,,1.0,,5.0,5.0,6.0,2.0,"1. Integrate with a Johnson current students and alumni LinkedIn group to capture alumni who are not registered in JTS
2. Calendar integration should also include a set of pre-scheduled Outlook reminders once an item is marked ""in progress"" on the set to-do list (example - marks ""email recent alumni at company on LAMP list"" this should generate an automatic Outlook reminder to follow up in 3-5 business days 
3. The app must be compatible across multiple devices: mobile/desktop/laptop/tablet. Must also have two-factor authentication for sign in.",domestic,Female,,Consulting,,Marketing,,9.15
$10,AMBA,2020,cust/no,1.0,1.0,,,,,,1.0,,,5.0,7.0,4.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,7.0,7.0,4.0,3.0,6.0,5.0,5.0,7.0,3.0,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,6.0,5.0,7.0,5.0,"have industry-specific interview prep material such as for consulting- cases, old ezra interview cards etc.",international,Male,,Finance,,Consulting,,8.516666666666667
$10,2-year,2021,SSO,,,1.0,,,,1.0,1.0,,,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,7.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,7.0,4.0,1.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,7.0,6.0,6.0,3.0,"Consider long term sustainability/upgradeability
Minimize duplication with other Johnson IT 
Consider ease of use to discover/use other resources
",domestic,Male,,GM,,GM,,6.583333333333333
$10,2-year,2021,IB,1.0,,,,1.0,,,,1.0,,3.0,7.0,1.0,5.0,6.0,5.0,5.0,7.0,7.0,7.0,5.0,5.0,4.0,6.0,6.0,5.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,,1.0,,1.0,1.0,,,1.0,,6.0,5.0,5.0,2.0,I can’t think of many more things to add,domestic,Male,,other,Military Officer,IB,,7.066666666666666
